published_timestamp,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,year,months,day,quarter,profit,duration_categroy,price_Cat
2012-06-26 14:39:05+00:00,20150,iPhone icons gone awesome,https://www.udemy.com/how-to-make-awesome-icons-for-your-iphone-app-in-60-seconds/,True,20,2346,18,55,All Levels,3.5,2012-06-26 14:39:05+00:00,Graphic Design,2012,June,Tuesday,2,46920,12:20,20:50
2012-06-27 16:41:09+00:00,19653,Accounting Skills for Managers,https://www.udemy.com/accounting-skills-for-managers/,True,20,78,3,10,Beginner Level,1.5,2012-06-27 16:41:09+00:00,Business Finance,2012,June,Wednesday,2,1560,3:7,20:50
2012-07-06 21:33:05+00:00,20387,Guitar Insanity Workout - Eatmystrings!,https://www.udemy.com/eatmystrings-guitar-insanity-workout/,True,50,2673,17,29,All Levels,2.5,2012-07-06 21:33:05+00:00,Musical Instruments,2012,July,Friday,3,133650,12:20,20:50
2012-07-25 13:41:42+00:00,20461,How to Design a Logo - a Beginners Course,https://www.udemy.com/how-to-design-a-logo-a-beginners-course/,True,30,10875,650,41,All Levels,2.5,2012-07-25 13:41:42+00:00,Graphic Design,2012,July,Wednesday,3,326250,12:20,20:50
2012-07-27 12:54:57+00:00,21386,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,False,0,73110,1716,22,All Levels,2.0,2012-07-27 12:54:57+00:00,Web Development,2012,July,Friday,3,0,7:12,Free
2012-08-31 22:06:29+00:00,23683,Guitar - Rock - Beginner with Marc Seal,https://www.udemy.com/guitar-rock-beginner-with-marc-seal/,True,20,40,1,27,All Levels,1.0,2012-08-31 22:06:29+00:00,Musical Instruments,2012,August,Friday,3,800,0:3,20:50
2012-09-04 02:21:04+00:00,19164,Graphic Design Secrets Revealed,https://www.udemy.com/design-like-a-pro-graphic-design-fundamentals/,True,95,2555,28,55,All Levels,6.0,2012-09-04 02:21:04+00:00,Graphic Design,2012,September,Tuesday,3,242725,20:30,55:100
2012-09-10 23:52:58+00:00,23742,Servlets and JSPs Tutorial: Learn Web Applications With Java,https://www.udemy.com/javawebtut/,True,35,15187,970,64,All Levels,10.0,2012-09-10 23:52:58+00:00,Web Development,2012,September,Monday,3,531545,30+,20:50
2012-10-01 09:46:23+00:00,20185,The Complete Forex Trader,https://www.udemy.com/forextrader/,True,25,1634,142,46,All Levels,7.0,2012-10-01 09:46:23+00:00,Business Finance,2012,October,Monday,4,40850,30+,20:50
2012-10-02 22:00:03+00:00,25794,How To Crowdfund,https://www.udemy.com/how-to-crowdfund/,True,30,43,6,17,All Levels,1.5,2012-10-02 22:00:03+00:00,Business Finance,2012,October,Tuesday,4,1290,3:7,20:50
